Company,Source Type,Published Date,URL,Industry,Company Size,Primary Use Cases,Key Metric,Spokesperson,Summary,Tags
NVIDIA,Official Case Study,2026-02-06,https://www.cursor.com/blog/nvidia,Semiconductors / AI Hardware,"30,000+ engineers","Code Generation, Code Review, Testing, Debugging, SDLC Automation","3x more committed code across 30,000 developers","Wei Luo, VP of Engineering; Fabian Theuring, Senior Software Architect","NVIDIA embedded Cursor across every phase of its SDLC for 30,000+ daily users, driving a 3x increase in committed code while maintaining flat bug rates.","Enterprise, Agents, Rules, SDLC Automation, Onboarding, Debugging"
Salesforce,Official Case Study,2026-01-21,https://www.cursor.com/blog/salesforce,Enterprise Software / CRM,Thousands of engineers,"Code Generation, Testing, Legacy Code Coverage","30%+ velocity acceleration with double-digit gains in quality","Shan Appajodu, SVP of Engineering","Salesforce saw double-digit gains in cycle time, quality, and throughput. One team reduced legacy code coverage time by 85%.","Enterprise, Onboarding, Testing, Legacy Code, Quality"
Stripe,Official Case Study,2026-02-17,https://www.cursor.com/blog/stripe,Fintech / Payments,"3,000+ engineers","Code Generation, Code Review, Onboarding","Consistent AI rollout across 3,000 engineers with 5-year-high developer sentiment","Patrick Collison, CEO; Scott MacVicar, Head of Developer Infrastructure","Stripe rolled out Cursor to 3,000+ engineers with preloaded environments and Cursor Rules. Developer sentiment hit a five-year high.","Enterprise, Rules, Code Review, Onboarding, Developer Experience"
Box,Official Case Study,2026-02-13,https://www.cursor.com/blog/box,Cloud Content Management,"800+ developers (85% adoption)","Code Generation, Migrations, Testing, SDLC Automation","30-50% improvement in roadmap delivery; 80-90% faster migrations","Aaron Levie, CEO; Swaroop Butala, Sr. Dir. of Engineering","Box selected Cursor for enterprise-grade security. 85% daily adoption; 30-50% more roadmap throughput; 80-90% faster migrations.","Enterprise, Security, Migrations, Rules, Mentorship"
Dropbox,Official Case Study,2026-01-26,https://www.cursor.com/blog/dropbox,Cloud Storage / Productivity,"Thousands of engineers (90%+ weekly AI usage)","Code Generation, Code Review, Testing, Documentation, Migrations","1M+ lines of AI-suggested code accepted monthly; 550K+ files indexed","Ali Dasdan, CTO","Dropbox engineers accept over 1M lines of AI-suggested code monthly. Cursor indexed 550K+ file monorepo. 90%+ weekly AI usage.","Enterprise, Monorepo, Indexing, Organic Adoption, Hackathon"
PlanetScale,Official Case Study,2026-03-02,https://www.cursor.com/blog/planetscale,Cloud Database Infrastructure,Engineering team (startup scale),"Code Review, Bugbot","80% of Bugbot comments addressed before merge; equivalent of 2 FTE saved","Fatih Arslan, Software Engineer; Sam Lambert, CEO","Bugbot reviews 2,000+ PRs monthly catching deep semantic bugs. 80% of comments addressed before merge.","Bugbot, Code Review, Reliability, Production Safety, Startup"
Money Forward,Official Case Study,2026-03-18,https://www.cursor.com/blog/money-forward,Fintech / Financial Services,"1,000+ daily Cursor users","Code Generation, Testing, QA Automation, Cross-functional","15-20 hours saved per developer per week; QA test generation 70% faster","Aaron Li, Staff Engineer; Tran Ba Vinh Son, Group CTO","Expanded Cursor to product, design, and QA. 1,000+ daily users. Engineers save 15-20 hrs/week.","Cross-functional, QA, Product Management, Design, MCP, Agents"
National Australia Bank (NAB),Company Press / News,2026-01-06,https://news.nab.com.au/tag/artificial-intelligence/the-tools-and-training-transforming-nab-s-workforce-to-become--t,Banking / Financial Services,"6,000+ engineers and technologists","Code Generation, UX Prototyping, Requirements, App Development","40x leap in generating software requirements; 5-6x dev uplift","Nicholas Di Giuseppe, Exec for Transformation Engineering; Kimberley Kam, UX Designer","40x faster requirements, 5-6x dev uplift, push notifications 5x faster, prototype in 10 min, 6 months of work in 2.5 days.","Banking, UX Design, Prototyping, Requirements, Enterprise, Australia"
Coinbase,Customer Testimonial + External,2025-12-01,https://cursor.com/en/customers,Cryptocurrency / Fintech,"1,000+ engineers","Code Generation, Code Review, Onboarding, Refactoring","92% adoption; ~40% of code AI-generated; PR review 10x faster","Brian Armstrong, CEO; Chintan Turakhia, Sr. Dir. of Engineering","Every Coinbase engineer has utilized Cursor. Single engineers refactor/build codebases in days instead of months. 92% adoption.","Enterprise, Crypto, Onboarding, Refactoring, CEO-led Adoption"
Brex,Customer Testimonial + External,2025-11-01,https://cursor.com/en/customers,Fintech / Corporate Cards,70%+ engineers using Cursor,"Code Generation, Migrations, Debugging, Onboarding","70%+ adoption; 45% of code changes fully AI-written","James Reggio, CTO","70%+ engineers use Cursor despite free-choice policy. 45% of code changes fully AI-written. Gains in dev, migrations, debugging.","Fintech, Organic Adoption, Migrations, Debugging, Developer Choice"
Rippling,Customer Testimonial + External,2025-10-01,https://cursor.com/en/customers,HR Tech / Enterprise Software,"500+ engineers (~60% of org)","Code Generation, Migrations, Code Quality, Onboarding","150 to 500+ engineers in weeks; clear gains in quality and velocity","Albert Strasheim, CTO","Started with one curious engineer; grew to 500+ in weeks. SPARK forums for sharing. Clear gains in quality, velocity, onboarding.","Organic Adoption, HR Tech, Velocity, Onboarding, Community"
Upwork,Customer Testimonial,2025-12-01,https://cursor.com/en/customers/upwork,Freelance Marketplace,Nearly 100% adoption,"Code Generation, Code Quality","25% more PRs; 100% larger PRs; ~50% more code shipped","Anton Andreev, Principal Software Engineer","Nearly 100% adoption vs. prior 20% with Copilot. 70% of engineers save 1+ hr/week. ~50% more code shipped overall.","Near-Total Adoption, Marketplace, Velocity, PR Metrics"
Sentry,Customer Testimonial + Engineering Blog,2025-12-01,https://cursor.com/en/customers,Developer Tools / Observability,Engineering org,"Code Generation, Agents, Cross-language","Dozen agent branches merging daily; scale-multiplier for org","Cody De Arkland, Senior Director","Dozen agent branches merge daily. Velocity shows in release cadence and bug-backlog burn-down. Scale-multiplier for the org.","Developer Tools, Agents, Background Agents, Cross-language"
Datadog,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,Developer Tools / Observability,Engineering org,"Code Generation, Code Quality","Coding agents = killer app for AI; improves speed and quality","Alexis Le-Quoc, CTO & Co-Founder","CTO calls coding agents like Cursor the killer app for AI. Increases speed and code quality.","Developer Tools, Code Quality, CTO Endorsement"
monday.com,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,Work Management / SaaS,Engineering org,"Code Generation, Refactoring, Testing, Prototyping","2-5x increase in engineering velocity","Roni Avidov, Senior R&D Team Lead","2-5x engineering velocity. Better tech debt handling, refactors, testing. Prototype in hours not weeks.","Velocity, Tech Debt, Prototyping, Testing, IDE Switch"
Trimble,Customer Testimonial,2025-12-01,https://cursor.com/en/customers/trimble,Technology / Transportation / Construction,800+ engineers,"Code Generation, Refactoring, Legacy Systems","800+ engineers; 99% say Cursor made them more productive","Jonah McIntire, Chief Product & Technology Officer","800+ engineers across diverse stacks. 99% report improved productivity and outperformance vs prior AI tools.","Enterprise, Diverse Stacks, Edge Computing, Legacy Systems"
Fox Corporation,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,Media / Entertainment,Tech teams,"Code Generation, Enterprise AI","Unprecedented employee gratitude for the technology","Melody Hildebrandt, CTO","CTO reports employees texting 'Thank you.' Bottom-up adoption; AI applied across content creation, curation, and operations.","Media, Entertainment, Bottom-up Adoption, Cultural Impact"
OpenAI,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,AI Research / Technology,Engineering org,"Code Generation, Interactive Development","'We are at the 1% of what's possible'","Greg Brockman, President","Programming is more fun; less digging through pages. Interactive experiences like Cursor are where frontier models shine.","AI Research, Developer Experience, Frontier Models"
Sierra,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,AI / Customer Service,Engineering org,Code Generation,Transforms how software is created,"Bret Taylor, Co-Founder & CEO","Former Salesforce CEO describes Cursor as transforming how he creates software.","AI, CEO Endorsement, Developer Experience"
Mercado Libre,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,E-commerce / Fintech (Latin America),Large engineering org,"Code Generation, Prototyping, Onboarding, Debugging","Features built in a day that would take weeks to prototype","Oscar Mullin, VP of Technology","Features built in a day vs weeks. Teams ramp on unfamiliar codebases and debug complex issues faster.","E-commerce, Latin America, Prototyping, Onboarding, Debugging"
eBay,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,E-commerce / Marketplace,Engineering org,"Code Generation, Exploration","Indispensable daily workflow tool","Lathesh Karkera, Software Engineer","Not just productive but more curious and confident to explore new problem spaces.","E-commerce, Developer Experience, Exploration"
OnePay,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,Fintech / Payments,Engineering org,"Debugging, Documentation, Onboarding","Exceptional debugging with historical code attribution","Moe Matar, CTO","Exceptional debugging, historical code change attribution, stellar documentation, faster new joiner ramp.","Fintech, Debugging, Documentation, Onboarding"
Optiver,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,Financial Services / Trading,Firm-wide deployment,"Code Generation, Trading Systems","Firm-wide deployment at global trading firm","Scott McKenzie, Head of Engineering","Firm-wide deployment. Robust, context-aware, flexible enough for global trading scale and complexity.","Trading, Finance, Firm-wide, Scale, Complexity"
Decagon,Customer Testimonial,2025-12-01,https://cursor.com/en/customers,AI / Customer Support,100% engineering adoption,"Code Generation, Navigating Complexity","100% engineering adoption","Ashwin Sreenivas, Co-Founder","100% adoption. Every engineer instinctively turns to Cursor when navigating complexity or hitting a wall.","AI Startup, 100% Adoption, Complexity"
R Systems,Company Press Release,2025-07-22,https://www.rsystems.com/news-press-release/r-systems-announces-strategic-adoption-of-cursor-to-embed-ai-across-sdlc/,IT Services / Consulting,"1,000+ AI-focused engineers","Code Generation, Testing, Documentation, DevOps, Migrations","~30% delivery velocity improvement; 25% defect reduction; 50% faster onboarding",R Systems leadership,"Co-Innovation Lab deploying Cursor across 1,000+ engineers. Report build time cut from ~12 to <7 hours.","IT Services, Consulting, SDLC Framework, Migrations, Playbooks"
Carlyle Group,Customer Testimonial (Investor),2025-12-01,https://cursor.com/en/customers,Private Equity / Investment,Portfolio companies + internal,"Code Generation, Scaling","Portfolio companies accelerating product roadmaps","Daniel Ducic, Investor","Portfolio companies and internal teams use Cursor to ship faster and handle demand surges while maintaining quality.","Private Equity, Investor, Portfolio, Scaling"
